tweet_id,issue,text,author,label
1179,guns,Last year I asked @US_FDA to end prejudiced gay blood ban. Tragedy in #Orlando shows danger of this outdated policy. ,democrat,4
1025,aca,Meeting with health care providers  patients  employers  and employees in Bend about implementation of… ,republican,16
1765,guns,We've held the floor for 24+ hrs! RT if you agree: Americans want a vote on gun violence legislation. #NoBillNoBreak ,democrat,11
643,guns,My thoughts and prayers are with the families and victims of the Brussels attacks right now. We stand united against senseless terror.,republican,17
1569,guns,Common sense plan to #StopGunViolence keeps guns out of hands of criminals while respecting rights of law-abiding gun owners.,democrat,7
1082,guns,RT @CNNPolitics: U.S. gun violence: The story in charts and graphs  ,democrat,15
512,lgbt,RT @evelyndiazHA: .@SenatorDurbin speaking with residents at our #TownHallApts - serving aging #lgbtq w/ our partner @CenteronHalsted ,democrat,16
18,guns,Too often  the people affected most by gun violence are children and families. Enough is #Enough #filibuster #EndGunViolence,democrat,9
1278,aca,RT @SpeakerRyan: In this week's @HouseGOP address  @RepHartzler discusses the House's plan to repeal #Obamacare: ,republican,12
606,immig,#DREAMers want to serve this country and should be able to. That’s what my amendment would do. Check it out: ,democrat,13
537,guns,.@POTUS Thank you  Mr. President. You made a moving  powerful  and necessary statement on guns. I cried with you. #StopGunViolence,democrat,17
369,guns,Discussed the Orlando shooting and gun safety legislation yesterday on @MSNBC’s @Hardball:  #Enough #EndGunViolence,democrat,16
345,immig,US govt should stop pursuing cases v. 3 yr olds who can’t advocate for themselves in #immigration court #FairDayInCourt @ACLU @supportKIND,democrat,4
1934,aca,Fantastic news for our kids. New numbers show #RI had 38.5% fewer uninsured children in 2014. #ACAworks ,democrat,11
1918,aca,Met w/ @LeadingAge #RI’ers today to discuss health care and  housing issues facing our seniors. Thanks for all you do! ,democrat,16
1999,isis,List of concessions to Iran include: no snap inspections  no resolution of weaponization activities  no dismantling of Iran terror network.,republican,13
213,aca,#ObamacareTurns5 and  it still doesn't look any better. @Senate_RPC  Obamacare at Five: Higher Costs  Less Freedom  ,republican,13
2029,aca,The new Affordable Care Act health coverage numbers are in and 16.4 million Americans who were once uninsured are... ,democrat,15
1779,guns,#NoBillNoBreak! It's long past time to #DisarmHate and  keep guns out of the wrong hands. #NoFlyNoBuy. ,democrat,7
